වචනය,"සමාන පදමාලාව"
තනිමූට්ටුව,"(පාරිභා.) [නා.] රෙදි කැබලි දෙකක් එකට යා කිරීම සඳහා මහන සරල මැස්ම (=plain seam)"
තනියා,"(කථා.) [නා.] රැළෙන් වෙන් ව තනි ව වසන අලියා."
"තනිස් කරනවා","[ක්‍රි.] කන්‍යාව දූෂ්‍ය කරනවා; බලාත්කාරයෙන් ස්ත්‍රියක සමග අනාචාරයේ හැසිරෙනවා."
"තනිස්, තන්නිස්","(කථා.) [නා.ප්‍ර.] කන්‍යා දූෂණය; බලෙන් කරනු ලබන ස්ත්‍රී දූෂණය."
තනිසෙල,"(පාරිභා.) [නා.] තනි ගලෙන් සාදන ලද ටැඹ හෝ කණුව; නෙළන ලද පිළිමය; නෙළන ලද තනි ගල් නිර්මාණය (=monolith)."
තනු,"1. [වි.] තුනී; සිහින්.
2. [වි.] ශක්තිහීන; අබල.
1. [නා.ප්‍ර.] කුඩා දෙය.
2. [නා.ප්‍ර.] ක්ලේශයන්ගේ ශිථිල අවස්ථාව.
3. [නා.ප්‍ර.] ශරීරය.
4. (ජ්‍යෝති.) [නා.ප්‍ර.] කේන්ද්‍රයක ලග්නස්ථාන හෙවත් පළමු රාශි; තනුස්ථාන.
5. [නා.ප්‍ර.] හම්.
6. (සංගී.) [නා.ප්‍ර.] ගීත රාගවල ස්වර මාලා; නාදරටා; තාල."
තනුක,"1. (පාරිභා.) [වි.] උකු නොවූ; දියාරු; ද්‍රවයක ප්‍රමාණය වැඩි; වතුරෙහි දිය කරන ලද (=gracilis).
2. [වි.] ජලය මිශ්‍ර වූ; දියාරු; (=dilute)."
"තනුක අම්ලය","(පාරිභා.) [නා.] දියාරු අම්ලය (=dilute acid)."
"තනුක ද්‍රාවණය","[නා.] උකු නොවූ දියාරු ද්‍රාවණය."
තනුකය,"1. (සත්ව.) [නා.] කළවේ මාංශ පේශියක්.
2. [නා.] යමක් ලිහිල් බවට හරවන දෙය; ද්‍රාවක ප්‍රමාණය වැඩි කරන දෙය."
තනුකරණය,"1. [නා.] තුනී කිරීම; යටපත් කිරීම; ශක්ති හීන කිරීම.
2.(පාරිභා.) [නා.] ද්‍රව්‍ය ප්‍රමාණය වැඩි කිරීම; වතුර මිශ්‍ර කිරීමාදියෙන් ද්‍රවයක ශක්තිය අඩු කිරීම; බාල කිරීම (=dilution)."
තනුපට,"1. (පාරිභා.) [නා.] මිනිස් සිරුරෙහි උර කුහරය හා උදර කුහරය අතර ඇති පටලය; ප්‍රාචීරය.
2. [නා.] තුනී පටලය; දුරකථන සම්ප්‍රේක්ෂකය තුළ ඇති තුනී පටල කොටස (=diaphragm)."
තනුප්‍රභාව,"[නා.] ශරීරයෙන් නික්මෙන පැහැය; සිරුරින් විහිදෙන ආලෝකය."
තනුපාදිකාව,"[නා.] (සත්ව.) කවචයන්ට (ක්රුස්ටසෙයාවන්ට) විශේෂ වූ ද්විශාඛ ගාත්‍රය."
තනුභාවය,"[නා.] තුනීබව; ලිහිල්කම."
තනුව,"[නා.] නාද රටාව; ගීත රාගයක ස්වරමාලාව."
තනුසම්පත්,"[නා.ප්‍ර.] සම්පත්තියක් සේ සැලකෙන ශරීර ශෝභාව; රූ සොබාව නැමැති සම්පත."
තප,"1. [නා.] තාපය; දාහය; උෂ්ණය; රස්නය.
2. [නා.] කෙලෙස් තැවීම නිමිති කොට දුෂ්කර ව්‍රතයෙහි යෙදීම; තාපස චර්යාව; ව්‍රතය; තපස.
3. [නා.] දුක; පීඩාව; හිරිහැරය; සන්තාපය.
4. [නා.] පොසොන්, ඇසළ යන දෙමස අයත් ඍතුව; ශ්‍රීෂ්ම ඍතුව."
"තපඃ චිත්තය","[නා.] වරදක් සිදුවූ විට එය සිහිකොට පිරිසිදුවීමේ සිත; ප්‍රායශ්චිත්තය."
"තපචරිය, තපචර්යාව","[නා.] තපස් රැකීම."
තපන,"1. [නා.ප්‍ර.] තාපය; ග්‍රීෂ්මය; උෂ්ණය.
2. [නා.ප්‍ර.] සූර්යයා.
3. [නා.ප්‍ර.] සූර්යකාන්ත මාණික්‍යය; රිවිකැන්මිණ.
4. [නා.ප්‍ර.] ග්‍රීෂ්ම කාලය.
5. [නා.ප්‍ර.] දුක; පීඩාව; තැවුල; සන්තාපය.
6. [නා.ප්‍ර.] අපායක නාමය; අටමහ නරකයෙන් එකක්.
[වි.] තැවිය යුතු; දැවිය යුතු."
තපනකර,"[නා.ප්‍ර.] සූර්යයා."
තපනිශ්‍රිත,"[වි.] කෙලෙස් තවන ව්‍රතයන්හි නියුක්ත; තපස ඇසුරු කළ; තපස් ක්‍රියාවෙහි නියැලුණු; තවුස්දම් රකින."
තපනීය,"1. [වි.] තැවිය යුතු; තැවීමට හේතු වූ; උණු කළ හැකි.
2. [වි.] බබළන, දිලිසෙන.
1. [නා.] රත්රන්; රන්.
2. [නා.] රිදී.
3. [නා.] ඇල් වී."
තපශ්චර්යාව,"[නා.] කෙලෙස් තැවීම සඳහා යෙදෙන හැසිරීම; තපස් රැකීම; තාපසව්‍රතය."
තපශ්ශෝභා,"[නා.ප්‍ර.] තාපසයකු කෙරෙහි දක්නට ඇති තේජස; තවුස්බව නිසා ඇති බැබළීම."
තපස,"1. [නා.] තැවීම; තාපය; උෂ්ණය.
2. [නා.] කෙලෙස් තැවීම; ආත්ම ක්ලමථය.
3. [නා.] (යෝග දර්ශනයෙහි) යෝග සිද්ධියට උපාය වන ක්‍රියා තුනෙන් පළමු වැන්න (යෝග දර්ශනයෙහි) ඉඳුරන්ට වසඟ නොවී, ශීත උෂ්ණාදියෙන් වන පීඩා ඉවසීම.
4. [නා.] ලග්නයෙන් නව වැනි ස්ථානය."
"තපස් කරනවා","[ක්‍රි.] කෙලෙස් තැවීම සඳහා ව්‍රත සමාදානයෙහි යෙදෙනවා; තවුස් දම් රකිනවා."
"තපස් සෙයියාව","[නා.] කාම සම්භෝගයෙන් වෙන් ව විසීම."
තපස්වි,"[නා.ප්‍ර.] තවුස්කම් කරන්නා; තාපසයා."
තපස්විනී,"[නා.ප්‍ර.] තවුස්දම් රකින ස්ත්‍රිය."
තපස්‍ය,"[නා.ප්‍ර.] පෙබරවාරි මාර්තු යන දෙමස අතර යෙදෙන නවම් මාසය."
තපස්‍යාව,"[නා.] කෙලෙස් තැවීම සඳහා ශරීරයට පීඩා පැමිණවීම; ආත්මක්ලමථය."
තප්,"1. [නා.ප්‍ර.] තාපය; උෂ්ණය.
2. [නා.ප්‍ර.] ගොනුන්ගේ හඬතැළීම; තප්පුලෑම."
තප්ත,"1. [වි.] රත් වූ; ගිනියම් වූ; උණු වූ.
2. [වි.] දිය සිඳුණු; වියළුණු; දැවුණු.
3. [වි.] කැකෑරුණු.
4. [වි.] පෙළුණු; තැවුණු; පීඩිත."
"තප්ත කරනවා","1. [ක්‍රි.] රත් කරනවා; තෙම්පරාදු කරනවා.
2. [ක්‍රි.] දිය සින්දනවා; වියළනවා."
තප්තකාඤ්චන,"[නා.ප්‍ර.] උණු කිරීමෙන් පිරිසිදු කරන ලද රන්; රත්රන්."
තප්තපානීය,"[නා.ප්‍ර.] උණු වතුර; උණුපැන්."
තප්තඵාල,"[නා.ප්‍ර.] රත් කළ නඟුල් තලය; ගිනියම් කල හී වැල."
තප්න,"[නා.ප්‍ර.] කෙලෙසුන් තැවීම; තපස."
තප්පදෝරු,"(කථා.) [වි.] තරබාරු මිටි සිරුරෙන් යුක්ත; උසින් අඩු සහ මහතින් වැඩි."
තප්පන,"[නා.ප්‍ර.] තැවීම; තාපනය."
තප්පුව,"[නා.] රබානක් වැනි කුඩා වාද්‍ය භාණ්ඩයක්; කුඩා එකැස් බෙර විශේෂයක්."
තප්පෝණ,"[වි.] ඒ දෙසට නැමුණු; ඒ කෙරෙහි යොමු වුණා වූ."
තප්වත,"[නා.] (ක්‍රිස්ති.) සිදු වූ පාපය ගැන පසුතැවිලි වීමේ පැවැත්ම; පශ්චාත්තාප ව්‍රතය."
තපාත්‍යය,"[නා.ප්‍ර.] ග්‍රීෂ්මය පහවීම; වැසිකාලය."
තපිනවා,"1. [ක්‍රි.] අවු ගිනි ආදියේ උණුසුම විදිනවා; තාපයෙන් සිරුර උණුසුම් කරගන්නවා.
2. [ක්‍රි.] තැවී තැවී ඉන්නවා; පීඩාවට පත් ව සිටිනවා; කනස්සල්ලෙන් කාලය ගෙවනවා."
"තපුල්ලනවා, තප්පු ලනවා","[ක්‍රි.] ගොනුන් හඬ තළනවා, හෙවත් නගනවා."
තපෝ,"[වි.] තපස් රැකීමෙන් උපදවා ගත්ත තපස පිළිබඳ වූ; තපසට අයත්.
[නා.ප්‍ර.] කෙලෙස් තැවීම; ආගමික ව්‍රත සමාදානය."
"තපෝ තේජස","[නා.] තවුස් තෙද; තපස් රැකීමෙන් උපදවා ගත් බලය."
තපෝගුණය,"[නා.] ලෝභාදි කෙලෙසුන් තවන ගුණය."
තපෝගෘහය,"[නා.] තපස් රකින්නාගේ වාසස්ථානය; තවුස්පැල; පන්සල."
තපෝදර,"[නා.ප්‍ර.] (ක්‍රිස්ති.) තාපස ජීවිතය වැලඳ ගත් තැනැත්තා; පැවිදි සහෝදරයා."
තපෝධන,"[වි.] තපසෙහි නියැළී; තවුස්දම් රකින.
[නා.ප්‍ර.] තවුස්දම් රකින්නා; තාපසයා."
තපෝධර්මය,"[නා.] තවුස්දම; තාපස ධර්මය."
තපෝනිධාන,"[වි.] තපසට නිධාන වූ; තපස නිදන් කොට හෝ තැන්පත් කොට ඇති."
තපෝනිශ්‍රිත,"[වි.] තපස ඇසුරු කළ; තපසෙහි ඇලුණ; තවුස්දම් රැකීමෙහි යෙදුණු."
තපෝභූමිය,"[නා.] තාපසභාවය; තපස්බව."
තපෝයඥය,"[නා.] තවුස්කම් පිරීමෙන් කරන යාගය; තපසින් කරන දේව පූජාව."
තපෝලීලාව,"[නා.] තවුසකුගේ විලාසය."
තපෝලෝකය,"[නා.] පතඤ්ජලි දර්ශනයේ දැක්වෙන පඤ්චවිධ ස්වර්ගලෝකවලින් එකක්."
තපෝවත,"[නා.] තාපසයකුගේ පැවැත්ම; තපස් ස්වභාවය."
තපෝවනය,"[නා.] තවුසන් වසනා වනගත පෙදෙස; අසපුව; තාපසාරණ්‍යය; ආශ්‍රමපදය."
තපෝව්‍රතය,"[නා.] තවුස්වත; තාපස චර්යාව."
තපෝවෘද්ධ,"[වි.] තපසින් වැඩිහිටි; ශීලයෙන් ජ්‍යේෂ්ඨ."
තපෝසංරක්ෂණය,"[නා.] තපස් රැකීම; තාපස ශීලය ආරක්ෂා කිරීම."
තබනවා,"1. [ක්‍රි.] රඳවනවා; පිහිටුවනවා; ස්ථාපනය කරනවා.
2. [ක්‍රි.] ඉතිරි කරනවා; ශේෂ කරනවා."
තබව,"[වි.] තද්භව හෙවත් මාගධ සංස්කෘත ආදි භාෂාවලින් භින්න වූ.
[නා.] එසේ භින්න (සිංහල) පද."
තම,"1. [නා.ප්‍ර.] අඳුර; අන්ධකාරය; තිමිර; තමස; කළුවර.
2. [නා.ප්‍ර.] මෝහය; මුළාව; අවිද්‍යාව.
3. [නා.ප්‍ර.] සාංඛ්‍ය දර්ශනයට අනු ව සියලු ම ජීවීන්ගේ ප්‍රභවයට හේතු වන ගුණත්‍රයෙන් එකක්; තමස් ගුණය.
4. [නා.ප්‍ර.] රාහු ග්‍රහයා.
5. [නා.ප්‍ර.] ශබ්දය.
6. [නා.ප්‍ර.] කැමැත්ත.
7. [නා.ප්‍ර.] තඹ ලෝහය.
[සර්ව.] අන්‍යයකූ නොවන තැනැත්තා, ආත්මවාචී පුද්ගලයා.
[ප්‍රත්‍ය.] (ව්‍යාක.) දෙකකට වැඩි සංඛ්‍යාවක් අතුරින් එකක වැඩි හෝ උසස්බව ඉස්මතු කර දක්වන අතිශයාර්ථවාචී තද්ධිත ප්‍රත්‍යය."
තමරැස්,"[නා.ප්‍ර.] අඳුරු සමූහය; අන්ධකාර රාශිය; දැඩි අඳුර; තමරිළු."
තමරුපු,"[නා.ප්‍ර.] සූර්යයා; හිරු."
තමස,"1. [නා.] අන්ධකාරය.
2. (භා.දර්ශන) [නා.] හින්දු දර්ශනය අනු ව (ලොවෙහි) නිර්මිත සෑම වස්තුවක් ම කෙරෙහි ඇතැයි සලකන සත්ව, රජස්, තමස් යන ගුණත්‍රයෙන් තුන්වැන්න; තමස්ගුණය."
"තමස් අන්ධතාව","(පාරිභා.) [නා.] රාත්‍රියෙහි දී හා අඳුරෙහි දී ඇස් පෙනීම අඩුකම (=night blindness)."
"තමස් ගුණය","[නා.] අවිද්‍යාව, මුග්ධබව, මුළාව, ආශාව, මානය, ශෝකය, ජඩත්වය ආදියට හේතු වූ ගුණය."
තමස්විනිය,"[නා.] රැය; රාත්‍රිය; නිසා කල."
තමසාවෘත,"[තමස්+ආවෘත]
[වි.] අඳුරින් වැසුණු; අන්ධකාරයෙන් ආවරණය වූ."
තම්,"[නා.ප්‍ර.] තඹ (=copper)."
"තම් දුළුල්ලා, තඹ දුළුල්","[නා.] තඹවන් ජටාවක් ඇත්තා; මහදෙවියා; මෙහෙසුරා; ඊශ්වරයා."
තම්බ,"1. [වි.] රත් පැහැයට හුරු දුඹුරුවන්.
2. [වි.] මඳ රත් පැහැති; තාම්‍ර වර්ණ.
1. [නා.ප්‍ර.] මඳ රත් පැහැය; තාම්‍ර වර්ණය.
2. [නා.ප්‍ර.] ලෝහ වර්ගයක්; තඹ.
3. [නා.ප්‍ර.] ඇත් කුල දහයෙන් එකක්."
තම්බනඛතා,"[නා.ප්‍ර.] (බුදුන්වහන්සේගේ) අසූ අනුව්‍යඤ්ජනයන්ගෙන් එකක්; රක්තවර්ණ වූ නිය ඇතිබව."
තම්බනය,"[නා.] භූතයන් හිර කිරීම; යකැදුරන් විසින් ගෙදරකට හෝ පුද්ගලයකුට හෝ වැහුණු අමනුෂ්‍යයකු අල්ලා හිර කිරීම."
තම්බනවා,"1. [ක්‍රි.] උණු දියෙන් හෝ හුමාලයෙන් තැවීමට භාජන කරනවා.
2. [ක්‍රි.] උයනවා; පිසිනවා.
3. [ක්‍රි.] (ප්‍රකෘති ශක්තිය) හීන කරනවා; මර්දනය කරනවා; බාල කරනවා; අඩපණ කරනවා.
4. [ක්‍රි.] රවටනවා; මුළා කරනවා."
තම්බපණ්නි,"[නා.ප්‍ර.] විජය කුමරා ලක්දිවට ගොඩ බැස්ස ස්ථානය."
තම්බපත,"[නා.] තඹ කොළය; තඹ තහඩුව; තඹ පත."
තම්බලෝහ,"[නා.] තඹ නම් ලෝහ වර්ගය."
තම්බි,"1. [නා.ප්‍ර.] ද්‍රවිඩ භාෂාවෙහි බාල සහෝදරයාට ආමන්ත්‍රණය කරන වචනය; මල්ලී.
2. [නා.ප්‍ර.] මරක්කල හෙවත් මුස්ලිම් ජාතිකයා."
තම්බිරානේ,"[නා.ප්‍ර.] දෙවියෝ; දෙවියන් වහන්සේ."
තම්බෝරුව,"[නා.] වාද්‍ය භාණ්ඩයක නාමය; කුඩා බෙර විශේෂයක්."
තම්මැට්ටම,"[නා.] අවනද්ධ වර්ගයට අයත් පැරණි වාද්‍ය භාණ්ඩයක නාමය; පොකුරු බෙරය; සුරප්පට්ටුව."
තමා,"[සර්ව.] අන්‍යයකු නොවන තැනැත්තා; වෙනත් කෙනකු නොවන්නා; ආත්මවාචී පුද්ගලයා."
"තමි, තමී","[නා.ප්‍ර.] රැය; රාත්‍රිය; නිසාකල; තමිය."
තමිඳු,"[තම+ඉබු]
[නා.ප්‍ර.] සඳ; චන්ද්‍රයා; සිසි."
තමිස්‍ර,"[නා.ප්‍ර.] අඳුර; අන්ධකාරය; කළුවර; තිමිර."
තමුන්නාන්සෙ,"[සර්ව.] යුෂ්මතාණෝ; ඔබතුමාණෝ."
තමෝගුණය,"1. [නා.] (භා. දර්ශන) තමස් ගුණය.
2. [නා.] අඳුර; අන්ධකාරය; තිමිර.
3. [නා.] මෝඩකම; මෝහය; මුළාව."
තඹ,"[වි.] රත්පැහැයට හුරු දුඹුරුවන්; මඳ රත් පැහැති.
1. [නා.ප්‍ර.] රතට හුරු දුඹුරුපාට ඇති ලෝහමය මූලද්‍රව්‍යයක් (=copper).
2. [නා.ප්‍ර.] මද රත්පැහැය.
3. [නා.ප්‍ර.] ඇතුන් බඳින ටැඹ; කණුව."
"තඹ කුලය","[නා.] ඇත් කුලයක නාමය; තාම්‍රකුලය."
"තඹ දොයිතුව","(කථා.) [නා.] ලක්දිව භාවිත වූ ඕලන්ද කාසියක්; සතයකින් හතරෙන් පංගුවක වටිනාකම ඇති කුඩා ම තඹ කාසිය."
"තඹ පයිසය","[නා.] ඉන්දියානු මුදල් ව්‍යවහාරයෙහි වූ ඒකකයක්; තුට්ටුව හෙවත් සත එකහමාරේ කාසිය."
"තඹ පිච්චිය","[නා.] තඹවලින් සෑදූ කාසිය; සතයකින් හතරෙන් එකක් වටිනා තඹ කාසිය."
"තඹ රැවුල","[නා.] තඹ පැහැති රැවුල; දුඹුරු පාට රැවුල."
"තඹ වතුර","[නා.] ගලා ගෙන යන (අලුත්) වතුර; බොර පැහැති ව ගලන ගංවතුර; තාම්‍ර වණ ජලෞඝය."
"තඹ සන්නස","[නා.] තඹ තහඩුවක ලියා හස් තබා දෙනු ලබන රාජකීය ලේඛනය."
"තඹ සල්ලිය","1. [නා.] සත භාගයක නොහොත් අලුක්කාල් දෙකක නොහොත් තුට්ටුවෙන් තුනෙන් එකක වටිනාකම ඇති කුඩා තඹ කාසිය; පාර්දින් එකෙන් බාගය.
2. [නා.] අගයක් නැතිදෙය."
තඹක්ක,"[නා.] ලෝහ වර්ගයක්."
තඹතුට්ටුව,"[නා.] සත එකහමාරයක් වටිනා තඹෙන් සාදන ලද කාසිය."
තඹදැළි,"[නා.ප්‍ර.] තඹ පැහැගත් රැවුල."
තඹදිය,"1. [නා.ප්‍ර.] තඹ ලෝහය උණුවීමෙන් ඇති වන දිය.
2. [නා.ප්‍ර.] තඹ පැහැති වතුර; අලුත් වතුර."
තඹදුළුල්,"[නා.ප්‍ර.] මෙහෙසුරා; ඊශ්වර දෙවියා."
තඹපට,"[නා.ප්‍ර.] තඹවලින් සෑදූ පට; තඹ තහඩුව."
"තඹපට විදමන","[නා.] තඹපට හෝ තඹතහඩුව සිදුරු වන සේ දුන්නෙන් විදීම."
තඹපත,"1. [නා.] තඹ කොළය; තඹ තහඩුව.
2. [නා.] තඹ තහඩුවක ලියන ලද ලේඛනය; තඹ සන්නස."
තඹපලු,"1. [නා.ප්‍ර.] තඹපාට පත්‍ර; ළා දලු; රතු දලු; ළපටි කොළ; තාම්‍ර පල්ලව.
2. [නා.ප්‍ර.] තඹපැහැය; රතුපාට."
තඹපස්,"[නා.ප්‍ර.] තඹ සෑදීමට ගන්නා පස්; තඹ මිශ්‍ර පස්; ඔක්සයිට් හෝ සල්ෆයිඩ් හෝ ඇති පස්."
තඹපිල්,"[නා.ප්‍ර.] පොල්ගස."
තඹමල,"[නා.ප්‍ර.] තඹවලින් සෑදූ ලෝහ භාජන ආදියෙහි හටගන්නා මල; තඹ මතුපිට තට්ටුවක් මෙන් බැඳෙන කොළපාට ද්‍රව්‍යය."
"තඹර වනය","[නා.] බහුල ව නෙළුම් වැවෙන තැන; පියුම් වනය."
"තඹර, තඹුරු","1. [නා.ප්‍ර.] නෙළුම් මල; පද්මය; කමල; සියපත; තාමරසය.
2. [නා.ප්‍ර.] තඹ පැහැය; රතුපාට."
තඹරකර,"[නා.ප්‍ර.] තඹර කරවන්නා හෙවත් පිපීමට පිහිට වන්නා වන සූර්යයා."
තඹරකරකුල,"[තඹර+කර+කුල]
[නා.ප්‍ර.] රිවි කුල; සූර්ය වංශය."
තඹරත්,"[තඹර+අත්]
[නා.ප්‍ර.] හිරු; සූර්යයා; රිවි; දිනකර."
තඹරසතුරු,"[නා.ප්‍ර.] හඳ; චන්ද්‍රයා."
තඹරසිය,"[නා.ප්‍ර.] හිරු; සූර්යයා."
තඹරසිළු,"[නා.ප්‍ර.] තඹවන් ශිඛාවක් ඇත්තා; කුකුළා; සැවුලා."
තඹරිළු,"[තඹර+ඉළු]
1. [නා.ප්‍ර.] තඹුරු වනය.
2. [නා.ප්‍ර.] හෝතඹුවා."
තඹරුකුරු,"[තඹුරු+අකුරු]
[නා.ප්‍ර.] නෙළුම් පොහොට්ටුව; පියුම් කැකුළ."
තඹරෝර,"[නා.] නෙළුම් මලේ ඇතුළත; පියුම් ගැබ; තාමරසෝදරය."
තඹල,"[වි.] තඹ පාටින් යුත්; දුඹුරු.
[නා.ප්‍ර.] තඹ පාට; ළා රතු පැහැය."
තඹලේරුව,"[නා.] බීම සඳහා භාවිත කරන භාජනයක්; වීදුරුව."
තඹලෝදිය,"[තඹර+ලෝදිය]
[නා.] තඹ ලෝහය උණු වීමෙන් ඇතිවන උකු ද්‍රාවය."
තඹලෝපස්,"[නා.ප්‍ර.] තඹ ලබා ගැනීම සඳහා පොළොවෙන් හාරා ගන්නා පස් විශේෂය."
තඹලෝහාලේපනය,"[නා.] තඹ ලෝහය උණු කළ ද්‍රවය ආලේප කිරීම; තඹ ගෑම."
තඹවන්,"[වි.] තඹ පැහැති; ගුරු පාට වූ."
තඹවිටි,"[වි.] තඹ පැහැති කෙහෙ රැවුල් ඇති."
තඹසියකුල,"[තඹර+සිය+කුල]
[නා.ප්‍ර.] රිවි කුලය; සූර්යවංශය."
"තඹහුලහ, තඹහුලා","[නා.] ඉතා සුළු අගය; අංශුමාත්‍ර වටිනාකම."
තඹුනෙල්,"[නා.ප්‍ර.] පොල් වර්ගයක නාමය."
"තඹුරු වනය","[නා.] පියුම් වනය."
තඹුරුකල්,"[නා.] නෙළුමෙහි සිටින කාන්තාව වන සිරිකත; ශ්‍රී කාන්තාව."
තඹුරුකල්පති,"[නා.ප්‍ර.] විෂ්ණු දෙවියා."
තඹුරුමිතුරු,"[නා.ප්‍ර.] සූර්යයා."
තඹුවා,"1. [නා.] තඹවන් කෙහෙ ඇත්තා.
2. [නා.] හිවලා; නරියා.
3. [නා.] හෝතඹුවා.
4. [නා.] රතුපාට කරදිය මාලුවෙක්."
"තයම, තායම","[නා.] කූට උපාය; රැවටිල්ල."
"තයමයින්, තයමින්, තයැමයින්","[නා.] බී (1) විටමිනය."
තයිපොංගල්,"(කථා.) [නා.ප්‍ර.] හින්දු භක්තිකයන්ගේ වාර්ෂික සංස්කෘතික උත්සවය."
"තයියාරු වෙනවා","(කථා.) [ක්‍රි.] සූදානම් වෙනවා; ලැහැස්ති වෙනවා."
තයිරොක්සින්,"(පාරිභා.) [නා.] තයිරොයිඩ් නම් ග්‍රන්ථියෙන් පිට වන අයඩින් අන්තර්ගත ඇමයිනෝ අම්ලය (=thyroxine)."
"තයිලම, තෛලම","1. [නා.ප්‍ර.] බෙහෙත් වර්ග කීපයක් මුසු කොට සකස් කරන ඖෂධීය ආලේප විශේෂයක්.
2. [නා.ප්‍ර.] අබිං වැනි මත් ද්‍රව්‍යයක්."
තයිලය,"[නා.] මීකිරි ආදියෙන් හිඳගන්නා තෙල්; ශාක තෙල්."
"තයිලා පෙට්ටිය","[නා.] යම් යම් බඩු දැමීම සඳහා ලීයෙන් සාදාගනු ලබන පෙට්ටියක්."
තර,"1. [නා.ප්‍ර.] වේගය; ඉක්මන; විගස.
2. [නා.ප්‍ර.] ශක්තිය; බල මහිමය; පරාක්‍රමය.
3. [නා.ප්‍ර.] රශ්මිය; කාන්තිය; පැහැය; ශෝභාව; ප්‍රභාව.
4. [නා.ප්‍ර.] ගංගා ආදියේ ඉවුර; තෙර; තොටුපළ; තීර්ථය.
5. [නා.ප්‍ර.] ගංගා ආදියෙන් එගොඩ මෙගොඩවීම; එතෙරවීම; පරතෙරට යෑම; එගොඩ මෙගොඩ වීමට උපකාරී වන ඔරුව පහුර හෝ අත් යාත්‍රාව.
6. [නා.ප්‍ර.] පාර; මාර්ගය.
7. [නා.ප්‍ර.] ඇස්ගුළිය; ඇසිකිණිය; තාරාමණ්ඩලය.
8. [නා.ප්‍ර.] තාරකාව.
1. [වි.] උච්චස්වරයෙන් යුක්ත වූ; උස්හඬින් යුත්.
2. [වි.] මහතින් යුක්ත; තරබාරු; ස්ථුල.
3. [වි.] පරිපූරණ වූ; පිරුණු; ශක්තිමත් වූ; සවි ඇති; තද; දැඩි.
4. [වි.] නොසැලී පවතින්නා වූ; ස්ථාවර; කල්පවත්නා වූ; නියත.
[ප්‍රත්‍ය.] (ව්‍යාක.) දෙකක් අතරින් එකක වැඩිබව හඟවන තද්ධිත ප්‍රත්‍යය."
"තර ඇණය","1. (කථා.) [නා.] ඔරු ආදි කුඩා යාත්‍රාවල සිදුරු තැන් ලප්ප දමා වසා ගසන ඇබය.
2. [නා.] ඔළුව මහත්වන සේ මිටියම් කළ ඇණය; හෙප්පු වැනි ලෝහමය පෙට්ටිවල ඇතුළේ අගුල වැටීමට සවි කරන බුබුලක් වැනි ඇණය."
"තර කරනවා","1. [ක්‍රි.] ශක්තිමත් කරනවා; බලසම්පන්න කරනවා.
2. [ක්‍රි.] නොසැලෙන තත්ත්වයට පත් කරනවා.
3. [ක්‍රි.] (පිළිසකර ආදියෙන්) තහවුරු කරනවා; ස්ථාවර කරනවා.
4. [ක්‍රි.] අදිටන් කරනවා; නිශ්චය කරනවා; ධාරණය කරනවා.
5. [ක්‍රි.] ශරීරය පෝෂ්‍ය කරනවා; පුෂ්ටිමත් කරනවා.
6. [ක්‍රි.] (මිටියම් ඇණ, පොට ඇණවල ඔළු ආදිය මෙන්) ලෝහයක දිග අඩුකර මහත වැඩි කරනවා."
"තර පස","[නා.] ශක්තිමත් මලපුඩුව; සවි ඇති තොණ්ඩුව; දැඩි පාශය."
"තර විය, තර වී","[නා.] බොල් නොවූ වී; හොද වී."
තරං,"[නා.ප්‍ර.] මල්වෙඩි සෑදීමේ වෙඩි බෙහෙත් සමඟ ප්‍රමාණයකට දී අනු ව මිශ්‍ර කරන යකඩ චීනච්චටිටි ආදි ලෝහ කුඩු."
"තරංක හිරුව","[නා.] දොර ජනෙල් ආදියේ තරංකය නොහොත් අගුල වැටෙන සිදුර; අගුල් කට."
"තරංකය, තරංකේ, තරඞ්කය","1. [නා.] දොරවල් හිරකර වැසීම සඳහා හරහට දමන පොල්ල; දොර පොල්ල; දොර අගුළ.
2. [නා.] දුම්රිය දුනු රෝද ආදිය එකට හිර කර තැබීම සඳහා හරහට දමට යකඩ පොල්ල."
"තරංග ආයාමය","(පාරිභා.) [නා.] ප්‍රත්‍යාවර්තක තරංගයක සමරූපී හා අනුක්‍රම ලක්ෂ්‍ය දෙකක් අතර පවත්නා දුර ප්‍රමාණය (=wave length)."
"තරංග කලාපය","(පාරිභා.) [නා.] සමාන තරංග ආයාම ඇති තීරය (=wave band)."
"තරංග චලිතය","(පාරිභා.) [නා.] ශක්තිය ගෙන යන්නා වූ ආවර්තික කැලඹීමක ප්‍රචාරණය;
තරංග ගතිය; තරංග ගමන (=wave motion)."
"තරංග නිම්නය","(පාරිභා.) [නා.ප්‍ර.] තරංග ශීර්ෂ දෙකක් අතර ඇති පහත් පෙදෙස (=wave depression)."
"තරංග පරාවර්තනය","(පාරිභා.) [නා.] ජලයේ, ආලෝකයේ හෝ වායුවේ තරංග යමක වැදුණු විට ආපසු හැරි රැළී දීම; ප්‍රතිවිරුද්ධ තලයක හැපී තරංග පෙරළා රැළි දීම (=reflection of wave)."
"තරංග පීඩනය","(පාරිභා.) [නා.] තරංගවලින් ඇති වන තෙරපුම (=wave pressure)."
"තරංග පෙරහන","(පාරිභා.) [නා.] තරංග සංඛ්‍යානයට අනු ව වෙන් කරන උපකරණය (=wave filter)."
